#event_id,pid,pt [GeV],eta,phi,E [GeV],mass [GeV],v_true
170,13,187.183,-1.22255,-1.97342,345.38,0.10566,0
171,90,415.127,0.355613,2.44825,451.917,95.7679,0
171,11,153.05,-0.468224,-0.698125,170.136,0.000511,0
172,90,283.001,-0.476378,0.609452,319.951,51.8368,0
172,90,317.77,1.26362,-2.64404,614.968,98.203,1
172,13,26.1926,-0.781235,3.03298,34.6006,0.10566,0
173,90,260.481,1.33617,-0.388702,529.813,9.48434,0
173,13,84.3987,0.319419,2.11552,88.7411,0.10566,0
174,90,315.216,0.494361,-0.654427,357.54,46.3328,1
174,11,160.213,0.935623,2.61144,235.605,0.000511,0
175,90,329.724,-1.56839,-1.40155,830.135,87.5001,1
175,13,187.914,-0.65481,1.38053,229.661,0.10566,0
176,90,328.426,-1.1048,-0.405149,556.992,87.3678,1
176,13,45.9233,-1.65291,-2.42084,124.306,0.10566,0
177,90,272.844,-0.829719,-1.35789,387.528,107.655,0
177,13,109.507,-0.586204,2.5253,128.867,0.10566,0
178,90,324.201,-0.108762,-1.62469,328.97,43.2057,0
178,13,271.045,-0.0440146,1.76405,271.308,0.10566,0
179,90,490.429,-0.117687,-1.28565,494.566,26.9823,0
179,11,102.643,0.618617,1.82708,122.918,0.000511,0
180,90,262.326,-1.35117,-2.60179,540.599,9.98391,0
180,13,134.483,-1.96404,0.416877,488.734,0.10566,0
181,90,283.105,1.82868,-2.33233,909.863,103.177,0
181,90,306.301,1.36457,0.749401,643.852,82.3448,1
181,13,43.097,0.873493,-2.94649,60.6107,0.10566,0
182,90,288.137,0.646962,-1.01102,360.599,84.4468,1
182,13,88.4389,-2.27636,2.43119,435.29,0.10566,0
183,90,266.566,-0.930246,-2.06632,390.926,18.9837,0
183,13,55.9579,1.19264,3.0498,100.702,0.10566,0
184,90,279.346,0.947807,1.99644,423.655,87.602,1
184,11,45.1125,-1.29466,0.374183,88.505,0.000511,0
185,90,262.786,-1.33322,0.53208,533.067,5.03158,0
185,11,106.858,-1.26393,-1.19984,204.197,0.000511,0
186,90,282.402,1.79162,-2.06185,875.068,88.088,1
186,11,62.6774,1.38986,-0.477134,133.61,0.000511,0
187,90,376.578,-1.68934,2.04988,1057.81,83.3436,1
187,13,177.789,-0.815426,-1.00429,240.245,0.10566,0
188,90,334.336,0.851128,-1.14701,467.305,63.8293,1
188,11,27.1889,-1.33508,1.00526,55.2402,0.000511,0
189,90,288.248,0.0696056,-0.422071,314.553,124.314,1
189,13,117.302,-0.51738,2.92715,133.356,0.10566,0
190,90,258.448,0.894585,3.08348,369.034,7.98161,1
190,11,173.364,1.62164,0.163184,455.856,0.000511,0
191,90,269.747,1.15507,0.288609,471.15,22.4841,0
191,90,289.226,-1.63436,-2.65583,769.52,0.000511075,0
191,11,289.226,-1.63436,-2.65583,769.52,0.000511,0
192,90,405.18,-1.43262,-1.20611,904.823,117.671,0
192,13,163.028,0.620959,2.46825,195.483,0.10566,0
193,90,279.475,0.0390426,-3.07381,291.592,82.463,1
193,11,50.8307,1.08487,-1.55906,83.7942,0.000511,0
194,90,337.789,-0.65321,-2.88759,412.75,15.6603,0
194,11,32.7211,-2.47533,1.37622,195.832,0.000511,0
195,90,294.842,-1.04451,1.58084,474.349,57.5724,1
195,13,232.717,0.439998,-1.61514,255.61,0.10566,0
196,90,254.468,0.546712,-0.0455126,301.753,70.2808,1
196,90,331.227,-0.529493,-3.12636,387.206,80.4595,0
196,13,44.3447,-1.10327,-1.51694,74.1841,0.10566,0
197,90,599.066,-1.47199,2.64406,1378.07,104.92,1
197,13,456.017,-0.0818228,-0.578667,457.545,0.10566,0
198,90,308.649,-0.734445,1.80742,396.332,22.3259,0
198,11,54.3412,-2.30125,-0.959877,274.064,0.000511,0
199,90,252.565,0.284614,0.530777,271.807,69.146,0
199,11,87.0137,-0.524575,-3.09489,99.2629,0.000511,0
200,90,270.252,1.37982,-1.85203,572.778,44.9149,0
200,13,71.9631,1.70948,0.940376,205.348,0.10566,0
201,90,456.761,0.334261,-0.834403,485.334,52.2218,1
201,13,85.3965,-1.34479,2.43375,174.977,0.10566,0
202,90,331.177,0.34322,-2.23339,359.509,78.3162,0
202,90,390.532,1.0836,0.946324,643.256,12.0851,1
202,11,316.8,0.33011,-2.28873,334.219,0.000511,0
203,90,344.752,-0.425247,-0.144735,386.425,87.4633,1
203,90,342.338,-1.462,-2.85317,781.522,72.0318,0
203,11,125.992,1.26299,1.22637,240.569,0.000511,0
204,90,266.52,0.024299,-0.408245,285.626,102.504,1
